Pedigree,Trial,Yield,CHM,NGRDI,CHM_48,CHM_63,CHM_70,CHM_73,CHM_82,CHM_98,CHM_112,NGRDI_48,NGRDI_63,NGRDI_70,NGRDI_73,NGRDI_82,NGRDI_98,NGRDI_112
NILASQ4G11I11S2/LH123HT,LP17,6.62672,1.957144387,0.06199362,1.22125039,2.327674055,2.253883315,2.267832105,2.073859968,1.952892907,1.746895671,0.118271048,0.107838469,0.079727001,0.066907824,0.022628235,0.021922413,0.015846253
NILASQ4G11I12S3/LH123HT,LP17,6.665774,2.12002311,0.064004464,1.31514231,2.446613723,2.396666053,2.398417071,2.316898636,2.167307106,1.999071443,0.123006041,0.111630347,0.081853106,0.068230599,0.02634604,0.025498332,
NILASQ4G21I01S2/LH123HT,LP17,6.023662,1.94839604,0.062828871,1.216219716,2.34920204,2.225518464,2.259274311,2.024923833,1.98221655,1.723659058,0.117199835,0.111312506,0.083637236,0.065649913,0.025513203,0.025351627,0.01205923
NILASQ4G21I02S2/LH123HT,LP17,6.157149,2.002479399,0.060504599,1.243894826,2.334792847,2.246730119,2.275592961,2.209695072,2.007551286,1.866625789,0.116975442,0.108424,0.07736966,0.063368334,0.019734234,0.019327107,0.013605421
NILASQ4G21I03S2/LH123HT,LP17,6.591495,2.022989857,0.064924397,1.277168357,2.369504993,2.255123612,2.296860041,2.136326344,2.093953523,1.906630444,0.119634021,0.109042008,0.082218071,0.065839754,0.034398297,0.03386236,0.016306948
NILASQ4G21I04S2/LH123HT,LP17,6.218486,1.994174849,0.060689262,1.251697743,2.376137913,2.245520685,2.29649703,2.100603479,2.034516464,1.814245441,0.118065074,0.106436369,0.080908098,0.063361058,0.02010959,0.019587425,0.013819094
NILASQ4G21I05S2/LH123HT,LP17,7.442238,1.96980739,0.061802443,1.203828749,2.343095497,2.203079934,2.249221288,2.076445172,2.005785095,1.852641055,0.117199784,0.110142402,0.079928407,0.065853162,0.022373289,0.021733571,0.013338233
NILASQ4G21I06S2/LH123HT,LP17,4.924712,1.854037707,0.060246745,1.139052414,2.212910067,2.115818779,2.153842416,1.991659252,1.819060894,1.631816367,0.109917519,0.106557892,0.076862021,0.060199472,0.023567796,0.022842068,0.016239638
NILASQ4G21I07S2/LH123HT,LP17,7.116514,1.972037191,0.06262069,1.245870258,2.324569817,2.210306309,2.250355379,2.145519738,2.008905511,1.790497218,0.120234653,0.109061417,0.081643647,0.065939308,,,0.012553908
NILASQ4G21I08S2/LH123HT,LP17,7.018855,1.951637633,0.064821544,1.213718188,2.310695482,2.200380766,2.225945566,2.100657399,2.008079395,1.754765925,0.121463441,0.11012229,0.083687373,0.067353474,0.029079569,0.028430675,0.018905195
NILASQ4G21I09S2/LH123HT,LP17,6.029333,1.944343773,0.061416019,1.189330249,2.296487355,2.173609594,2.21321134,2.054638686,2.008088029,1.818740697,0.113534479,0.107159503,0.076920065,0.063210394,,,0.016725741
NILASQ4G21I10S2/LH123HT,LP17,5.460532,1.881281615,0.060522633,1.161813914,2.225188955,2.14293953,2.153540732,2.009665516,1.9024629,1.697877647,0.111655416,0.107775227,0.078198858,0.061836268,0.02369063,0.023543013,0.011808498
NILASQ4G21I11S2/LH123HT,LP17,5.686549,1.894864402,0.057628636,1.153797797,2.244952279,2.145465462,2.169589051,2.000604684,1.983271559,1.698580425,0.110572939,0.105602018,0.074019069,0.06031198,0.016343679,0.016185065,0.008675813
NILASQ4G21I12S2/LH123HT,LP17,5.766829,1.972414426,0.06134087,1.226474467,2.298060482,2.217450133,2.264024683,2.08847425,2.021287681,1.847546827,0.115366337,0.108955495,0.079749334,0.063975291,,,0.010674282
NILASQ4G31I01S2/LH123HT,LP17,5.2752,1.879169963,0.05730731,1.094730726,2.226959444,2.161603235,2.177872379,2.041152306,1.82200065,1.726200097,0.106576601,0.102885048,0.074061282,0.059156377,0.01808031,0.017289834,
NILASQ4G31I02S3/LH123HT,LP17,5.725593,1.962995377,0.063850983,1.216026917,2.331780182,2.257558512,2.25132838,2.154219614,1.976490187,1.678264123,0.117547462,0.110857199,0.082893137,0.065473144,0.028455729,0.027765122,0.01861939
NILASQ4G31I03S2/LH123HT,LP17,6.399533,1.941898368,0.059142459,1.220075739,2.287383286,2.191653863,2.240657442,2.067657343,2.012462179,1.720803241,0.11481908,0.107346218,0.077140253,0.062817453,0.016724752,0.016815529,0.009784484
NILASQ4G31I04S2/LH123HT,LP17,6.740832,1.93437521,0.060029875,1.146048901,2.268939049,2.214680602,2.218835071,2.046531658,1.953422465,1.808619038,0.115035297,0.105681293,0.077648494,0.062626824,0.021435982,0.020726605,0.013290893
