Pedigree,Range,Row,Rep,Grain Yield (BuA),Grain Yield (t/ha),PlantingDate,Management,Label,Data,Flight,Management,Pedigree,DTA,DTS,PHT,FHT,EHT
G7601VTTP (2017),6,301,1,223.0894286,13.99682837,3/3/2017,OI,48_OI,0.909,48,OI,G7601VTTP (2017),69,68,96,74,43
GEMN-0260/3IIH6,6,307,1,133.9383325,8.403409628,3/3/2017,OI,48_OI,0.74289,48,OI,GEMN-0260/3IIH6,65,65,80,59,37
GEMN-0268/3IIH6,6,293,1,170.1472935,10.67519192,3/3/2017,OI,48_OI,0.791362,48,OI,GEMN-0268/3IIH6,66,66,94,71,47
LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22/LH195,11,315,1,210.0970215,13.18167324,3/3/2017,OI,48_OI,0.704362,48,OI,LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22/LH195,72,73,93,71,43
LH195/LH123HT,7,319,1,189.2239288,11.87207692,3/3/2017,OI,48_OI,0.790095,48,OI,LH195/LH123HT,71,69,89,74,38
LH195/LH185,9,303,1,179.5687215,11.26630066,3/3/2017,OI,48_OI,0.733083,48,OI,LH195/LH185,69,69,87,69,42
LH195/LH210,7,315,1,204.9841813,12.86088912,3/3/2017,OI,48_OI,0.733,48,OI,LH195/LH210,69,68,96,74,49
LH195/LH82,6,273,1,184.804189,11.59477853,3/3/2017,OI,48_OI,0.822,48,OI,LH195/LH82,65,66,87,66,39
LH195/NK787,8,297,1,213.2777608,13.38123565,3/3/2017,OI,48_OI,0.809,48,OI,LH195/NK787,70,69,96,79,45
LH195/PHJ65,8,317,1,207.7924975,13.03708536,3/3/2017,OI,48_OI,0.73399,48,OI,LH195/PHJ65,70,72,93,75,47
LH195/PHM49,9,307,1,187.5042274,11.76418133,3/3/2017,OI,48_OI,0.735248,48,OI,LH195/PHM49,69,69,90,71,45
LH195/PHM57,9,263,1,210.2880039,13.19365565,3/3/2017,OI,48_OI,0.703,48,OI,LH195/PHM57,73,72,88,71,42
LH195/PHN37,6,263,1,195.2728127,12.25158925,3/3/2017,OI,48_OI,0.89247,48,OI,LH195/PHN37,64,66,93,72,45
LH195/PHN47,8,315,1,204.96029,12.85939016,3/3/2017,OI,48_OI,0.64,48,OI,LH195/PHN47,73,73,95,72,50
LH195/PHN82,9,273,1,191.46435,12.01264293,3/3/2017,OI,48_OI,0.810129,48,OI,LH195/PHN82,69,69,102,79,47
LH195/PHP60,9,301,1,205.6422484,12.90217684,3/3/2017,OI,48_OI,0.699015,48,OI,LH195/PHP60,69,68,94,73,47
LH195/PHR03,8,291,1,224.9385506,14.11284393,3/3/2017,OI,48_OI,0.834,48,OI,LH195/PHR03,68,69,96,77,50
LH195/PHR55,9,315,1,209.0213265,13.11418319,3/3/2017,OI,48_OI,0.706,48,OI,LH195/PHR55,70,70,96,76,41
LH195/PHR63,9,289,1,197.1142746,12.3671242,3/3/2017,OI,48_OI,0.796819,48,OI,LH195/PHR63,67,68,96,76,46
LH195/PHW30,9,257,1,177.6834625,11.14801784,3/3/2017,OI,48_OI,0.878,48,OI,LH195/PHW30,69,69,90,69,41
LH195/PHW53,8,267,1,176.1691968,11.05301147,3/3/2017,OI,48_OI,0.87799,48,OI,LH195/PHW53,67,72,85,69,44
LH195/PHZ51,9,275,1,173.4439929,10.88202976,3/3/2017,OI,48_OI,0.89,48,OI,LH195/PHZ51,67,68,98,76,47
LH195/PHZ51,11,303,1,172.3529112,10.81357433,3/3/2017,OI,48_OI,0.912857,48,OI,LH195/PHZ51,68,69,96,72,47
LH195/Q381,8,273,1,143.1972771,8.98432402,3/3/2017,OI,48_OI,0.868,48,OI,LH195/Q381,66,67,86,70,41
LH198/PHN37,7,271,1,157.4499165,9.878547241,3/3/2017,OI,48_OI,1.02498,48,OI,LH198/PHN37,60,62,92,67,45
LH198/PHZ51,6,315,1,154.7906971,9.711705456,3/3/2017,OI,48_OI,0.898768,48,OI,LH198/PHZ51,67,68,98,74,48
LH212HT/LH195,7,289,1,183.6931423,11.52507047,3/3/2017,OI,48_OI,0.925,48,OI,LH212HT/LH195,67,68,92,67,42
LH216/LH195,7,265,1,215.7724154,13.53775248,3/3/2017,OI,48_OI,0.798,48,OI,LH216/LH195,72,69,96,72,46
