Pedigree,Trial,Yield,CHM,NGRDI,CHM_39,CHM_63,CHM_75,CHM_88,CHM_96,NGRDI_39,NGRDI_63,NGRDI_75,NGRDI_88,NGRDI_96
((GEMS-0244_CML287;S15)/Tx777),LP19,8.259356,1.553780694,0.133722631,0.59759453,1.737064919,1.806450102,1.892981729,1.763184287,0.102939667,0.156704325,0.182156409,0.131764323,0.104438719
((GP474GT)/Tx777),LP19,6.777999,1.422270365,0.139420984,0.461083187,1.597758242,1.712779974,1.730077476,1.613908039,0.098834453,0.16893666,0.193575778,0.146249818,0.112886625
((GP474GT-1-B18)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2),LP19,7.510033,1.35623108,0.138635828,0.433587935,1.523923551,1.595386066,1.66079381,1.552540403,0.09623753,0.166218899,0.199740862,0.144028275,0.123498985
((GP474GT-1-B18)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-B13),LP19,7.988676,1.521675555,0.14233775,0.572900337,1.692128189,1.762594559,1.874312331,1.729075025,0.100970654,0.171640549,0.201428319,0.145848068,0.132139972
((GP474GT-1-B18)/(Tx775//LH82)-B6-24-1-1),LP19,5.110916,1.355736905,0.133724638,0.511221977,1.505871836,1.574885529,1.651296907,1.525014222,0.099192542,0.15926623,0.194509583,0.132150424,0.099793245
((GP474GT-1-B18)/(Tx777/Tx775)-B5-12-2-1),LP19,8.770301,1.442411937,0.130787054,0.533932045,1.617938021,1.674615352,1.765409314,1.627085425,0.093704904,0.161358379,0.188137168,0.133908683,0.112159755
((GP474GT-1-B18)/(Tx777/Tx775)-B5-15-1-1),LP19,8.680937,1.665740283,0.136519878,0.6614235,1.843966162,1.968344194,2.013476923,1.895473326,0.106275733,0.157470066,0.185798123,0.133636163,0.113603722
((GP474GT-1-B18)/(Tx777/Tx775)-B5-30-1-1),LP19,8.288404,1.586560813,0.135456948,0.662852045,1.760574001,1.867489666,1.903643921,1.771512579,0.110441482,0.158608132,0.188855352,0.135917386,0.100210485
((GP474GT-1-B18)/(Tx778/Tx151)-B5-06-1-1),LP19,8.042139,1.613199521,0.135752117,0.639942606,1.821548524,1.916480934,1.948258893,1.781769397,0.109397594,0.157753061,0.191712071,0.131613771,0.097734686
((GP474GT-1-B18)/(Tx778/Tx151)-B5-07-2-1),LP19,8.417882,1.469628176,0.136217703,0.521169906,1.65283352,1.736042651,1.802613263,1.651505615,0.101971299,0.162411659,0.193418172,0.137321689,0.097851624
((GP474GT-1-B18)/(Tx778/Tx151)-B5-24-1-1),LP19,6.94503,1.365310974,0.1356881,0.484955962,1.564032888,1.604821001,1.656519505,1.505955135,0.095359185,0.15549555,0.1941261,0.141758835,0.103237159
((GP474GT-1-B18)/(Tx778/Tx151)-B5-25-1-2),LP19,8.465722,1.695234183,0.134850076,0.679378499,1.873577426,2.008695335,2.054682533,1.920353009,0.10363985,0.161748635,0.18344578,0.137264169,0.104873275
((GP474GT-1-B18)/(Tx778/Tx151)-B5-26-2-1),LP19,7.659763,1.592424532,0.136692533,0.598250376,1.786698531,1.874061159,1.92293074,1.819034885,0.110034445,0.163313541,0.191035134,0.140825383,0.11174475
((GP474GT-1-B18)/(Tx779/Tx780)-B6-04-2-2),LP19,8.106905,1.562430051,0.13469405,0.600576054,1.742644434,1.841573516,1.890396137,1.769829435,0.101734395,0.154033364,0.183156193,0.141120564,0.114008281
((GP474GT-1-B18)/(Tx779/Tx780)-B6-05-1-1),LP19,7.661148,1.596814865,0.135345867,0.652999856,1.777421114,1.907331832,1.915383469,1.771351193,0.107291988,0.164052274,0.194310816,0.138810491,0.096042368
((GP7169 ; CS17-INC-129-B21)/Tx779 ; CS16-INC-089-B13),LP19,7.243322,1.499572732,0.134485678,0.616207171,1.670537365,1.733197349,1.816240386,1.683146745,0.108927167,0.155024777,0.187859203,0.136264066,0.100304787
((GP7169GT (glyphosate)-1-B18)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2),LP19,5.731376,1.498660007,0.138258734,0.585502381,1.698139189,1.720151135,1.816818207,1.691520078,0.096683382,0.158715179,0.18868021,0.141001355,0.120344297
((GP7169GT (glyphosate)-1-B18)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-B13),LP19,6.21509,1.483728048,0.136955886,0.642076903,1.632364444,1.704411221,1.786835811,1.667994424,0.100174397,0.16187497,0.197324897,0.140403605,0.107256175
((GP7169GT (glyphosate)-1-B18)/(Tx775//LH82)-B6-24-1-1),LP19,6.343926,1.398690265,0.134130235,0.479480759,1.5546187,1.619590543,1.718934173,1.615636224,0.09949184,0.156716656,0.185898349,0.139919247,0.105177285
((GP7169GT (glyphosate)-1-B18)/(Tx777/Tx775)-B5-12-2-1),LP19,6.385942,1.535256967,0.132860619,0.552970036,1.72628292,1.828147251,1.872243077,1.722096793,0.090881078,0.152304731,0.199938635,0.1398593,0.098287756
((GP7169GT (glyphosate)-1-B18)/(Tx777/Tx775)-B5-15-1-1),LP19,8.193708,1.650085664,0.137373182,0.668447197,1.799385896,1.956778163,2.00603422,1.873029329,0.11086404,0.162003686,0.191424216,0.140890011,0.099645824
((GP7169GT (glyphosate)-1-B18)/(Tx777/Tx775)-B5-30-1-1),LP19,8.088569,1.46066523,0.134403022,0.559805192,1.646886702,1.700727856,1.775544147,1.629408537,0.105932505,0.156307046,0.189219859,0.134967738,0.099760434
((GP7169GT (glyphosate)-1-B18)/(Tx778/Tx151)-B5-04-1),LP19,7.292766,1.525945767,0.131225828,0.627422356,1.700195273,1.816526251,1.824850519,1.683301037,0.100702872,0.15551882,0.196837859,0.135158418,0.086951677
((GP7169GT (glyphosate)-1-B18)/(Tx778/Tx151)-B5-04-1-B3),LP19,7.382759,1.586700093,0.132995733,0.618380686,1.771129442,1.880102105,1.902495149,1.798411903,0.101876979,0.158426551,0.197322601,0.129236803,0.087258316
